accounting+finance,1
admin / office,2
arch / engineering,3
art / media / design,4
biotech / science,5
business / mgmt,6
customer service,7
education,8
food / bev / hosp,9
general labor,10
government,11
human resources,12
internet engineers,13
legal / paralegal,14
manufacturing,15
marketing / pr / ad,16
medical / health,17
nonprofit sector,18
real estate,19
retail / wholesale,20
sales / biz dev,21
salon / spa / fitness,22
security,23
skilled trade / craft,24
software / qa / dba,25
systems / network,26
technical support,27
transport,28
tv / film / video,29
web / info design,30
writing / editing,31
[ETC],32
[ part-time ],33
