Region,District,State,StateCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
abilene,NA,Texas,TX,https://abilene.craigslist.org/search/acc,https://abilene.craigslist.org/search/ofc,https://abilene.craigslist.org/search/egr,https://abilene.craigslist.org/search/med,https://abilene.craigslist.org/search/sci,https://abilene.craigslist.org/search/bus,https://abilene.craigslist.org/search/csr,https://abilene.craigslist.org/search/edu,https://abilene.craigslist.org/search/fbh,https://abilene.craigslist.org/search/lab,https://abilene.craigslist.org/search/gov,https://abilene.craigslist.org/search/hum,https://abilene.craigslist.org/search/eng,https://abilene.craigslist.org/search/lgl,https://abilene.craigslist.org/search/mnu,https://abilene.craigslist.org/search/mar,https://abilene.craigslist.org/search/hea,https://abilene.craigslist.org/search/npo,https://abilene.craigslist.org/search/rej,https://abilene.craigslist.org/search/ret,https://abilene.craigslist.org/search/sls,https://abilene.craigslist.org/search/spa,https://abilene.craigslist.org/search/sec,https://abilene.craigslist.org/search/trd,https://abilene.craigslist.org/search/sof,https://abilene.craigslist.org/search/sad,https://abilene.craigslist.org/search/tch,https://abilene.craigslist.org/search/trp,https://abilene.craigslist.org/search/tfr,https://abilene.craigslist.org/search/web,https://abilene.craigslist.org/search/wri,https://abilene.craigslist.org/search/etc,https://abilene.craigslist.org/search/jjj?employment_type=2
akroncanton,NA,Ohio,OH,https://akroncanton.craigslist.org/search/acc,https://akroncanton.craigslist.org/search/ofc,https://akroncanton.craigslist.org/search/egr,https://akroncanton.craigslist.org/search/med,https://akroncanton.craigslist.org/search/sci,https://akroncanton.craigslist.org/search/bus,https://akroncanton.craigslist.org/search/csr,https://akroncanton.craigslist.org/search/edu,https://akroncanton.craigslist.org/search/fbh,https://akroncanton.craigslist.org/search/lab,https://akroncanton.craigslist.org/search/gov,https://akroncanton.craigslist.org/search/hum,https://akroncanton.craigslist.org/search/eng,https://akroncanton.craigslist.org/search/lgl,https://akroncanton.craigslist.org/search/mnu,https://akroncanton.craigslist.org/search/mar,https://akroncanton.craigslist.org/search/hea,https://akroncanton.craigslist.org/search/npo,https://akroncanton.craigslist.org/search/rej,https://akroncanton.craigslist.org/search/ret,https://akroncanton.craigslist.org/search/sls,https://akroncanton.craigslist.org/search/spa,https://akroncanton.craigslist.org/search/sec,https://akroncanton.craigslist.org/search/trd,https://akroncanton.craigslist.org/search/sof,https://akroncanton.craigslist.org/search/sad,https://akroncanton.craigslist.org/search/tch,https://akroncanton.craigslist.org/search/trp,https://akroncanton.craigslist.org/search/tfr,https://akroncanton.craigslist.org/search/web,https://akroncanton.craigslist.org/search/wri,https://akroncanton.craigslist.org/search/etc,https://akroncanton.craigslist.org/search/jjj?employment_type=2
albanyga,NA,Georgia,GA,https://albanyga.craigslist.org/search/acc,https://albanyga.craigslist.org/search/ofc,https://albanyga.craigslist.org/search/egr,https://albanyga.craigslist.org/search/med,https://albanyga.craigslist.org/search/sci,https://albanyga.craigslist.org/search/bus,https://albanyga.craigslist.org/search/csr,https://albanyga.craigslist.org/search/edu,https://albanyga.craigslist.org/search/fbh,https://albanyga.craigslist.org/search/lab,https://albanyga.craigslist.org/search/gov,https://albanyga.craigslist.org/search/hum,https://albanyga.craigslist.org/search/eng,https://albanyga.craigslist.org/search/lgl,https://albanyga.craigslist.org/search/mnu,https://albanyga.craigslist.org/search/mar,https://albanyga.craigslist.org/search/hea,https://albanyga.craigslist.org/search/npo,https://albanyga.craigslist.org/search/rej,https://albanyga.craigslist.org/search/ret,https://albanyga.craigslist.org/search/sls,https://albanyga.craigslist.org/search/spa,https://albanyga.craigslist.org/search/sec,https://albanyga.craigslist.org/search/trd,https://albanyga.craigslist.org/search/sof,https://albanyga.craigslist.org/search/sad,https://albanyga.craigslist.org/search/tch,https://albanyga.craigslist.org/search/trp,https://albanyga.craigslist.org/search/tfr,https://albanyga.craigslist.org/search/web,https://albanyga.craigslist.org/search/wri,https://albanyga.craigslist.org/search/etc,https://albanyga.craigslist.org/search/jjj?employment_type=2
albany,NA,New York,NY,https://albany.craigslist.org/search/acc,https://albany.craigslist.org/search/ofc,https://albany.craigslist.org/search/egr,https://albany.craigslist.org/search/med,https://albany.craigslist.org/search/sci,https://albany.craigslist.org/search/bus,https://albany.craigslist.org/search/csr,https://albany.craigslist.org/search/edu,https://albany.craigslist.org/search/fbh,https://albany.craigslist.org/search/lab,https://albany.craigslist.org/search/gov,https://albany.craigslist.org/search/hum,https://albany.craigslist.org/search/eng,https://albany.craigslist.org/search/lgl,https://albany.craigslist.org/search/mnu,https://albany.craigslist.org/search/mar,https://albany.craigslist.org/search/hea,https://albany.craigslist.org/search/npo,https://albany.craigslist.org/search/rej,https://albany.craigslist.org/search/ret,https://albany.craigslist.org/search/sls,https://albany.craigslist.org/search/spa,https://albany.craigslist.org/search/sec,https://albany.craigslist.org/search/trd,https://albany.craigslist.org/search/sof,https://albany.craigslist.org/search/sad,https://albany.craigslist.org/search/tch,https://albany.craigslist.org/search/trp,https://albany.craigslist.org/search/tfr,https://albany.craigslist.org/search/web,https://albany.craigslist.org/search/wri,https://albany.craigslist.org/search/etc,https://albany.craigslist.org/search/jjj?employment_type=2
albuquerque,NA,New Mexico,NM,https://albuquerque.craigslist.org/search/acc,https://albuquerque.craigslist.org/search/ofc,https://albuquerque.craigslist.org/search/egr,https://albuquerque.craigslist.org/search/med,https://albuquerque.craigslist.org/search/sci,https://albuquerque.craigslist.org/search/bus,https://albuquerque.craigslist.org/search/csr,https://albuquerque.craigslist.org/search/edu,https://albuquerque.craigslist.org/search/fbh,https://albuquerque.craigslist.org/search/lab,https://albuquerque.craigslist.org/search/gov,https://albuquerque.craigslist.org/search/hum,https://albuquerque.craigslist.org/search/eng,https://albuquerque.craigslist.org/search/lgl,https://albuquerque.craigslist.org/search/mnu,https://albuquerque.craigslist.org/search/mar,https://albuquerque.craigslist.org/search/hea,https://albuquerque.craigslist.org/search/npo,https://albuquerque.craigslist.org/search/rej,https://albuquerque.craigslist.org/search/ret,https://albuquerque.craigslist.org/search/sls,https://albuquerque.craigslist.org/search/spa,https://albuquerque.craigslist.org/search/sec,https://albuquerque.craigslist.org/search/trd,https://albuquerque.craigslist.org/search/sof,https://albuquerque.craigslist.org/search/sad,https://albuquerque.craigslist.org/search/tch,https://albuquerque.craigslist.org/search/trp,https://albuquerque.craigslist.org/search/tfr,https://albuquerque.craigslist.org/search/web,https://albuquerque.craigslist.org/search/wri,https://albuquerque.craigslist.org/search/etc,https://albuquerque.craigslist.org/search/jjj?employment_type=2
altoona,NA,Pennsylvania,PA,https://altoona.craigslist.org/search/acc,https://altoona.craigslist.org/search/ofc,https://altoona.craigslist.org/search/egr,https://altoona.craigslist.org/search/med,https://altoona.craigslist.org/search/sci,https://altoona.craigslist.org/search/bus,https://altoona.craigslist.org/search/csr,https://altoona.craigslist.org/search/edu,https://altoona.craigslist.org/search/fbh,https://altoona.craigslist.org/search/lab,https://altoona.craigslist.org/search/gov,https://altoona.craigslist.org/search/hum,https://altoona.craigslist.org/search/eng,https://altoona.craigslist.org/search/lgl,https://altoona.craigslist.org/search/mnu,https://altoona.craigslist.org/search/mar,https://altoona.craigslist.org/search/hea,https://altoona.craigslist.org/search/npo,https://altoona.craigslist.org/search/rej,https://altoona.craigslist.org/search/ret,https://altoona.craigslist.org/search/sls,https://altoona.craigslist.org/search/spa,https://altoona.craigslist.org/search/sec,https://altoona.craigslist.org/search/trd,https://altoona.craigslist.org/search/sof,https://altoona.craigslist.org/search/sad,https://altoona.craigslist.org/search/tch,https://altoona.craigslist.org/search/trp,https://altoona.craigslist.org/search/tfr,https://altoona.craigslist.org/search/web,https://altoona.craigslist.org/search/wri,https://altoona.craigslist.org/search/etc,https://altoona.craigslist.org/search/jjj?employment_type=2
amarillo,NA,Texas,TX,https://amarillo.craigslist.org/search/acc,https://amarillo.craigslist.org/search/ofc,https://amarillo.craigslist.org/search/egr,https://amarillo.craigslist.org/search/med,https://amarillo.craigslist.org/search/sci,https://amarillo.craigslist.org/search/bus,https://amarillo.craigslist.org/search/csr,https://amarillo.craigslist.org/search/edu,https://amarillo.craigslist.org/search/fbh,https://amarillo.craigslist.org/search/lab,https://amarillo.craigslist.org/search/gov,https://amarillo.craigslist.org/search/hum,https://amarillo.craigslist.org/search/eng,https://amarillo.craigslist.org/search/lgl,https://amarillo.craigslist.org/search/mnu,https://amarillo.craigslist.org/search/mar,https://amarillo.craigslist.org/search/hea,https://amarillo.craigslist.org/search/npo,https://amarillo.craigslist.org/search/rej,https://amarillo.craigslist.org/search/ret,https://amarillo.craigslist.org/search/sls,https://amarillo.craigslist.org/search/spa,https://amarillo.craigslist.org/search/sec,https://amarillo.craigslist.org/search/trd,https://amarillo.craigslist.org/search/sof,https://amarillo.craigslist.org/search/sad,https://amarillo.craigslist.org/search/tch,https://amarillo.craigslist.org/search/trp,https://amarillo.craigslist.org/search/tfr,https://amarillo.craigslist.org/search/web,https://amarillo.craigslist.org/search/wri,https://amarillo.craigslist.org/search/etc,https://amarillo.craigslist.org/search/jjj?employment_type=2
ames,NA,Iowa,IA,https://ames.craigslist.org/search/acc,https://ames.craigslist.org/search/ofc,https://ames.craigslist.org/search/egr,https://ames.craigslist.org/search/med,https://ames.craigslist.org/search/sci,https://ames.craigslist.org/search/bus,https://ames.craigslist.org/search/csr,https://ames.craigslist.org/search/edu,https://ames.craigslist.org/search/fbh,https://ames.craigslist.org/search/lab,https://ames.craigslist.org/search/gov,https://ames.craigslist.org/search/hum,https://ames.craigslist.org/search/eng,https://ames.craigslist.org/search/lgl,https://ames.craigslist.org/search/mnu,https://ames.craigslist.org/search/mar,https://ames.craigslist.org/search/hea,https://ames.craigslist.org/search/npo,https://ames.craigslist.org/search/rej,https://ames.craigslist.org/search/ret,https://ames.craigslist.org/search/sls,https://ames.craigslist.org/search/spa,https://ames.craigslist.org/search/sec,https://ames.craigslist.org/search/trd,https://ames.craigslist.org/search/sof,https://ames.craigslist.org/search/sad,https://ames.craigslist.org/search/tch,https://ames.craigslist.org/search/trp,https://ames.craigslist.org/search/tfr,https://ames.craigslist.org/search/web,https://ames.craigslist.org/search/wri,https://ames.craigslist.org/search/etc,https://ames.craigslist.org/search/jjj?employment_type=2
anchorage,NA,Alaska,AK,https://anchorage.craigslist.org/search/acc,https://anchorage.craigslist.org/search/ofc,https://anchorage.craigslist.org/search/egr,https://anchorage.craigslist.org/search/med,https://anchorage.craigslist.org/search/sci,https://anchorage.craigslist.org/search/bus,https://anchorage.craigslist.org/search/csr,https://anchorage.craigslist.org/search/edu,https://anchorage.craigslist.org/search/fbh,https://anchorage.craigslist.org/search/lab,https://anchorage.craigslist.org/search/gov,https://anchorage.craigslist.org/search/hum,https://anchorage.craigslist.org/search/eng,https://anchorage.craigslist.org/search/lgl,https://anchorage.craigslist.org/search/mnu,https://anchorage.craigslist.org/search/mar,https://anchorage.craigslist.org/search/hea,https://anchorage.craigslist.org/search/npo,https://anchorage.craigslist.org/search/rej,https://anchorage.craigslist.org/search/ret,https://anchorage.craigslist.org/search/sls,https://anchorage.craigslist.org/search/spa,https://anchorage.craigslist.org/search/sec,https://anchorage.craigslist.org/search/trd,https://anchorage.craigslist.org/search/sof,https://anchorage.craigslist.org/search/sad,https://anchorage.craigslist.org/search/tch,https://anchorage.craigslist.org/search/trp,https://anchorage.craigslist.org/search/tfr,https://anchorage.craigslist.org/search/web,https://anchorage.craigslist.org/search/wri,https://anchorage.craigslist.org/search/etc,https://anchorage.craigslist.org/search/jjj?employment_type=2
annarbor,NA,Michigan,MI,https://annarbor.craigslist.org/search/acc,https://annarbor.craigslist.org/search/ofc,https://annarbor.craigslist.org/search/egr,https://annarbor.craigslist.org/search/med,https://annarbor.craigslist.org/search/sci,https://annarbor.craigslist.org/search/bus,https://annarbor.craigslist.org/search/csr,https://annarbor.craigslist.org/search/edu,https://annarbor.craigslist.org/search/fbh,https://annarbor.craigslist.org/search/lab,https://annarbor.craigslist.org/search/gov,https://annarbor.craigslist.org/search/hum,https://annarbor.craigslist.org/search/eng,https://annarbor.craigslist.org/search/lgl,https://annarbor.craigslist.org/search/mnu,https://annarbor.craigslist.org/search/mar,https://annarbor.craigslist.org/search/hea,https://annarbor.craigslist.org/search/npo,https://annarbor.craigslist.org/search/rej,https://annarbor.craigslist.org/search/ret,https://annarbor.craigslist.org/search/sls,https://annarbor.craigslist.org/search/spa,https://annarbor.craigslist.org/search/sec,https://annarbor.craigslist.org/search/trd,https://annarbor.craigslist.org/search/sof,https://annarbor.craigslist.org/search/sad,https://annarbor.craigslist.org/search/tch,https://annarbor.craigslist.org/search/trp,https://annarbor.craigslist.org/search/tfr,https://annarbor.craigslist.org/search/web,https://annarbor.craigslist.org/search/wri,https://annarbor.craigslist.org/search/etc,https://annarbor.craigslist.org/search/jjj?employment_type=2
