CL_ID,Month,Day,State,Occupation,ToAddress,WordResume,Company,CompanyDescription,EmailSubject,City,url,RA
6043774440,3,14,MT,,,,,,,billings,https://billings.craigslist.org/lab/6043774440.html,Alec Stewart
6043840999,3,14,SD,,,,CDL|,,,siouxfalls,https://siouxfalls.craigslist.org/lab/6043840999.html,Alec Stewart
lab,3,14,AZ,,,,Cabinet|Installation|Company|,,,phoenix,https://phoenix.craigslist.org/evl/lab/6043907014.html,Alec Stewart
6014747139,2,22,SD,,,,Food|Delivery|Driver|for|La|Garita|Food|Service|Inc.|TRABAJO|DE|TIEMPO|COMPLETO|Y|DE|MEDIO|TIEMPO|,,,siouxfalls,https://siouxfalls.craigslist.org/lab/6014747139.html,Alec Stewart
6017884687,2,24,MT,,,,Microsoft|Office|,,,billings,https://billings.craigslist.org/lab/6017884687.html,Alec Stewart
lab,3,14,NY,,,,,,,newyork,https://newyork.craigslist.org/mnh/lab/6043857214.html,Alec Stewart
6018069007,2,24,MT,,,,Merry|Maids|,,,billings,https://billings.craigslist.org/lab/6018069007.html,Alec Stewart
6018053041,2,24,MT,,,,Pacific|Northwest|,,,billings,https://billings.craigslist.org/lab/6018053041.html,Alec Stewart
6021785177,2,27,MT,,,,,,,billings,https://billings.craigslist.org/lab/6021785177.html,Alec Stewart
lab,3,7,NY,,,,Large|Bay|Beverage|Truck|Automobile|Insurance|Policy|Must|Carry|Worker|'s|Compensation|Insurance|Commission|,,,newyork,https://newyork.craigslist.org/brk/lab/6033502570.html,Alec Stewart
6022522240,2,27,MT,,,,Pacific|Northwest|,,,billings,https://billings.craigslist.org/lab/6022522240.html,Alec Stewart
lab,3,7,NY,,,,,,,newyork,https://newyork.craigslist.org/brk/lab/6033544586.html,Alec Stewart
6023361129,2,28,MT,,,,Arctic|Energy|Services|Frac|CDL|,,,billings,https://billings.craigslist.org/lab/6023361129.html,Alec Stewart
6023154918,2,28,MT,,,,,,,billings,https://billings.craigslist.org/lab/6023154918.html,Alec Stewart
lab,3,7,NY,,,,Brooklyn|Manhattan|,,,newyork,https://newyork.craigslist.org/brk/lab/6033573673.html,Alec Stewart
6023229720,2,28,MT,,,,,,,billings,https://billings.craigslist.org/lab/6023229720.html,Alec Stewart
lab,3,7,NY,,,,,,,newyork,https://newyork.craigslist.org/brk/lab/6033624037.html,Alec Stewart
lab,3,14,NY,,,,Microsoft|,,,newyork,https://newyork.craigslist.org/que/lab/6043691224.html,Alec Stewart
lab,3,7,NY,,,,Construction|Company|,,,newyork,https://newyork.craigslist.org/brk/lab/6033679490.html,Alec Stewart
lab,3,7,NY,,,,Colleen|,,,newyork,https://newyork.craigslist.org/brk/lab/6033737999.html,Alec Stewart
lab,3,3,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6027731734.html,Alec Stewart
lab,3,3,NY,,,,Bronx|New|York|City|,,,newyork,https://newyork.craigslist.org/brx/lab/6027862839.html,Alec Stewart
lab,3,3,NY,,,,Johanna|Leandra|,,,newyork,https://newyork.craigslist.org/brx/lab/6028247646.html,Alec Stewart
lab,3,3,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6028443013.html,Alec Stewart
lab,3,3,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6028417539.html,Alec Stewart
lab,3,4,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6029221408.html,Alec Stewart
lab,3,4,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6029254835.html,Alec Stewart
lab,3,4,NY,,,,CONTRATA|INMEDIATAMENTE|TRABAJO|DE|FABRICA|TURNOS|MANANA|INMEDIATAMENTE|EL|DIA|MIERCOLES|ESTAR|LISTO|PARA|COMENZAR|INMEDIATE|,,,newyork,https://newyork.craigslist.org/brx/lab/6029707037.html,Alec Stewart
lab,3,4,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6029827804.html,Alec Stewart
lab,3,4,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6029866542.html,Alec Stewart
lab,3,4,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6029862221.html,Alec Stewart
lab,3,5,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6031107440.html,Alec Stewart
lab,3,5,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6030693996.html,Alec Stewart
lab,3,5,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6031140661.html,Alec Stewart
lab,3,5,NY,,,,,,,newyork,https://newyork.craigslist.org/brx/lab/6031219872.html,Alec Stewart
lab,3,6,NY,,,,New|York|City|Bronx|Westchester|County|Northwest|Broo
