CL_ID,Month,Day,State,Occupation,ToAddress,WordResume,Company,CompanyDescription,EmailSubject,City,url,RA
6043839527,3,14,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/ret/6043839527.html,Bomku Han
ret,3,14,HI,,,,RTV|RTV|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6043917330.html,Bomku Han
ret,3,9,HI,,,,Puerto|Rico|Canada|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6036259282.html,Bomku Han
ret,3,9,HI,,,,Aloha|,,,honolulu,https://honolulu.craigslist.org/big/ret/6036720443.html,Bomku Han
ret,3,9,HI,,,,"Minit|Stop|Associates|Hawaii|Petroleum|,|Inc.|",,,honolulu,https://honolulu.craigslist.org/mau/ret/6036718851.html,Bomku Han
ret,3,9,HI,,,,Commissions|Medical|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6036766388.html,Bomku Han
6001765939,2,13,NM,,,,Customer|Service|,,,albuquerque,https://albuquerque.craigslist.org/ret/6001765939.html,Bomku Han
ret,3,9,HI,,,,Waikiki|Waikiki|Japan|Waikiki|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6036898442.html,Bomku Han
6000999757,2,12,NM,,,,"Roadrunner|Services|,|LLC.|ADESA|",,,albuquerque,https://albuquerque.craigslist.org/ret/6000999757.html,Bomku Han
ret,3,9,HI,,,,Koko|Marina|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6036911414.html,Bomku Han
6001796205,2,13,NM,,,,Rocky|Mountain|RV|&|Marine|Rocky|Mountain|RV|&|Marine|RV|&|Marine|Rocky|Mountain|RV|&|Marine|,,,albuquerque,https://albuquerque.craigslist.org/ret/6001796205.html,Bomku Han
ret,3,9,HI,,,,Time|Sales|Associates|,,,honolulu,https://honolulu.craigslist.org/kau/ret/6037049299.html,Bomku Han
6002287481,2,13,NM,,,,NFL|Merchandise|Cottonwood|&|Coronado|Mall|,,,albuquerque,https://albuquerque.craigslist.org/ret/6002287481.html,Bomku Han
6002328843,2,13,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/ret/6002328843.html,Bomku Han
ret,3,9,HI,,,,"Stock|Associates|Zara|USA|,|Inc.|",,,honolulu,https://honolulu.craigslist.org/oah/ret/6037130076.html,Bomku Han
ret,3,9,HI,,,,Iwaena|St.|Aiea|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6037221674.html,Bomku Han
6002435512,2,13,NM,,,,Advantage|Solutions|Advantage|Solutions|,,,albuquerque,https://albuquerque.craigslist.org/ret/6002435512.html,Bomku Han
ret,3,9,HI,,,,Tara|,,,honolulu,https://honolulu.craigslist.org/mau/ret/6037274360.html,Bomku Han
ret,3,9,HI,,,,Sales|Associates|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6037278114.html,Bomku Han
ret,3,10,HI,,,,Red|Bamboo|Kailua|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6038035583.html,Bomku Han
ret,3,10,HI,,,,,,,honolulu,https://honolulu.craigslist.org/oah/ret/6038203504.html,Bomku Han
ret,3,9,HI,,,,Aloha|Island|Mart|and|Shell|Menehune|Food|Marts|Sales|Associates|AD|&|D|Long|Term|Disability|Insurance|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6037335359.html,Bomku Han
ret,3,10,HI,,,,Maui|Brewing|Company|MBC|RETAIL|ASSOCIATES|MBC|Restaurants|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6038177936.html,Bomku Han
ret,3,10,HI,,,,"Foodland|Farms|Ala|Moana|&|Aina|Haina|Foodland|Super|Market|Floral|Designer|Aina|Haina|Foodland|Super|Market|,|Ltd.|",,,honolulu,https://honolulu.craigslist.org/oah/ret/6038280430.html,Bomku Han
ret,3,10,HI,,,,Full|Time|&|Part|Time|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6038282081.html,Bomku Han
ret,3,10,HI,,,,"Casual|Bar|Staff|Foodland|Super|Market|,|Ltd.|",,,honolulu,https://honolulu.craigslist.org/oah/ret/6038284388.html,Bomku Han
ret,3,10,HI,,,,R.Field|Wine|Company|Associates|Wine|Company|Associates|,,,honolulu,https://honolulu.craigslist.org/mau/ret/6038289254.html,Bomku Han
ret,3,10,HI,,,,R.|Field|Wine|Company|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6038303957.html,Bomku Han
ret,3,10,HI,,,,R.|Field|Wine|Company|Food|&|Wine|Specialist|Foodland|Farms|Part|Time|Food|&|Wine|Specialist|R.|Field|Wine|Company|,,,honolulu,https://honolulu.craigslist.org/big/ret/6038309581.html,Bomku Han
ret,3,10,HI,,,,"Foodland|Super|Market|,|Ltd.|",,,honolulu,https://honolulu.craigslist.org/oah/ret/6038311984.html,Bomku Han
ret,3,10,HI,,,,Journeyman|Meat|Cutter|Time|Service|Deli|Clerk|Time|R.Field|Food|&|Wine|Specialist|Foodland|Farms|,,,honolulu,https://honolulu.craigslist.org/big/ret/6038315924.html,Bomku Han
ret,3,10,HI,,,,Microsoft|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6038361413.html,Bomku Han
ret,3,10,HI,,,,Foodland|Waimea|Parker|Ranch|Center|GM|Produce|Clerk|&|Service|Deli|Clerk|Casual|,,,honolulu,https://honolulu.craigslist.org/big/ret/6038458718.html,Bomku Han
ret,3,10,HI,,,,"Food|Pantry|,|Ltd.|",,,honolulu,https://honolulu.craigslist.org/oah/ret/6038487173.html,Bomku Han
ret,3,10,HI,,,,Sales|Associates|Full|Time|Sales|Associates|,,,honolulu,https://honolulu.craigslist.org/mau/ret/6038491892.html,Bomku Han
ret,3,10,HI,,,,Sales|Associates|,,,honolulu,https://honolulu.craigslist.org/mau/ret/6038493132.html,Bomku Han
ret,3,10,HI,,,,R.Field|Wine|Company|Food|&|Wine|Specialist|Full|Time|Food|&|Wine|Specialist|The|Whalers|General|Store|,,,honolulu,https://honolulu.craigslist.org/mau/ret/6038496370.html,Bomku Han
ret,3,10,HI,,,,Napili|Market|Napili|Market|,,,honolulu,https://honolulu.craigslist.org/mau/ret/6038498149.html,Bomku Han
ret,3,10,HI,,,,"Food|Pantry|Ltd.|Hawaii|Store|Manager|Maui|Full|Time|Store|NV|Universal|City|Food|Pantry|,|Ltd.|",,,honolulu,https://honolulu.craigslist.org/mau/ret/6038499446.html,Bomku Han
ret,3,10,HI,,,,"Ltd.|Food|Pantry|,|Ltd.|Sales|Associates|",,,honolulu,https://honolulu.craigslist.org/oah/ret/6038502418.html,Bomku Han
ret,3,10,HI,,,,"Food|Pantry|Express|Waikiki|Food|Pantry|,|Ltd.|Food|Pantry|Express|Waikiki|A.M.|Part-Time|Food|Pantry|Express|Waikiki|",,,honolulu,https://honolulu.craigslist.org/oah/ret/6038503825.html,Bomku Han
ret,3,10,HI,,,,Time|Sales|Associates|Time|Sales|Associates|,,,honolulu,https://honolulu.craigslist.org/oah/ret/6038505150.html,Bomku Han
ret,3,10,HI,,,,Full|Time|&|Part|Time|Shift|Supervisors|&|Sales|Associate|Shift|Supervisors|&|Sales|Associates|Whalers|General|Store|Poipu|Microsoft|Whalers|General|Store|Poipu|Shopping|Village|,,,honolulu,https://honolulu.craigslist.org/kau/ret/6038507111.html,Bomku Han
ret,3,10,HI,,,,Whalers|General|Store|,,,honolulu,https://honolulu.craigslist.org/kau/ret/6038508423.html,Bomku Han
ret,3,10,HI,,,,Accents|&|Oasis|Boutiques|Grand|Hyatt|Kauai|Resort|&|Spa|Island|of|Kauai|Seeking|Associates|Accents|&|Oasis|Boutiques|Time|Sales|Associates|Microsoft|,,,honolulu,https://honolulu.craigslist.org/kau/ret/6038510081.html,Bomku Han
ret,3,10,HI,,,,Oasis|Lifestyle|Boutique|,,,honolulu,https://honolulu.craigslist.org/big/ret/6038511602.html,Bomku Han
ret,3,10,HI,,,,Accents|Mauna|Kea|Beach|Hotel|Accents|Gift|Boutique|,,,honolulu,https://honolulu.craigslist.org/big/ret/6038513061.html,Bomku Han
