CL_ID,Month,Day,State,Occupation,ToAddress,WordResume,Company,CompanyDescription,EmailSubject,City,url,RA
fbh,3,14,HI,,,,Jack|Kailua|Waimanalo|Jack|Jack|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6043922328.html,Jennifer kallenburg
6043202774,3,13,AK,,,,Dickeys|Barbecue|Pit|Wing|Stop|Hotshots|Sports|Bar|&|Grill|,,,anchorage,https://anchorage.craigslist.org/fbh/6043202774.html,Jennifer kallenburg
6030915719,3,5,AK,,,,Athena|Pizza|Athena|,,,anchorage,https://anchorage.craigslist.org/fbh/6030915719.html,Jennifer kallenburg
6031543956,3,5,AK,,,,Anchorage|AK|,,,anchorage,https://anchorage.craigslist.org/fbh/6031543956.html,Jennifer kallenburg
6031245202,3,5,AK,,,,Alaska|Naples|Naples|Naples|,,,anchorage,https://anchorage.craigslist.org/fbh/6031245202.html,Jennifer kallenburg
6032179025,3,6,AK,,,,,,,anchorage,https://anchorage.craigslist.org/fbh/6032179025.html,Jennifer kallenburg
6032180538,3,6,AK,,,,Dianne|,,,anchorage,https://anchorage.craigslist.org/fbh/6032180538.html,Jennifer kallenburg
6032186399,3,6,AK,,,,,,,anchorage,https://anchorage.craigslist.org/fbh/6032186399.html,Jennifer kallenburg
6032320191,3,6,AK,,,,Bull|Cook|Housekeeper|Five|Star|Oilfield|Service|Company|Alaska|Food|Handlers|Card|,,,anchorage,https://anchorage.craigslist.org/fbh/6032320191.html,Jennifer kallenburg
6032490411,3,6,AK,,,,Advantage|Solutions|Advantage|Solutions|,,,anchorage,https://anchorage.craigslist.org/fbh/6032490411.html,Jennifer kallenburg
6032551976,3,6,AK,,,,Joe|Davidson|Joe|,,,anchorage,https://anchorage.craigslist.org/fbh/6032551976.html,Jennifer kallenburg
6032557687,3,6,AK,,,,McDonald|McDonald|'s|McDonald|'s|McDonald|'s|McDonald|'s|Crew|,,,anchorage,https://anchorage.craigslist.org/fbh/6032557687.html,Jennifer kallenburg
6032568200,3,6,AK,,,,Food|&|Beverage|,,,anchorage,https://anchorage.craigslist.org/fbh/6032568200.html,Jennifer kallenburg
6032574599,3,6,AK,,,,Anchorage|Anchorage|AK|,,,anchorage,https://anchorage.craigslist.org/fbh/6032574599.html,Jennifer kallenburg
6023705878,2,28,AK,,,,,,,anchorage,https://anchorage.craigslist.org/fbh/6023705878.html,Jennifer kallenburg
6023771898,2,28,AK,,,,Chugach|National|Forest|,,,anchorage,https://anchorage.craigslist.org/fbh/6023771898.html,Jennifer kallenburg
6024080272,2,28,AK,,,,,,,anchorage,https://anchorage.craigslist.org/fbh/6024080272.html,Jennifer kallenburg
6023866563,2,28,AK,,,,Baker|Vagabond|Blues|Alaska|Street|Palmer|,,,anchorage,https://anchorage.craigslist.org/fbh/6023866563.html,Jennifer kallenburg
6024202751,2,28,AK,,,,Flat|Top|Griddle|HACCP|HACCP|,,,anchorage,https://anchorage.craigslist.org/fbh/6024202751.html,Jennifer kallenburg
6024263580,2,28,AK,,,,Anchorage|Anchorage|,,,anchorage,https://anchorage.craigslist.org/fbh/6024263580.html,Jennifer kallenburg
6024274924,2,28,AK,,,,,,,anchorage,https://anchorage.craigslist.org/fbh/6024274924.html,Jennifer kallenburg
6024332213,2,28,AK,,,,Board|of|Trustees|and|Financial|Officer|AMVETS|Post|Veterans|Post|Board|of|Trustee|·|Keeps|Board|of|Trustees|Board|of|Trustees|AMVETS|Post|Alaska|Pull|Tabs|·|High|School|Board|of|Trustees|,,,anchorage,https://anchorage.craigslist.org/fbh/6024332213.html,Jennifer kallenburg
6024478230,3,1,AK,,,,Pizza|Ria|Delphi|,,,anchorage,https://anchorage.craigslist.org/fbh/6024478230.html,Jennifer kallenburg
6024935481,3,1,AK,,,,,,,anchorage,https://anchorage.craigslist.org/fbh/6024935481.html,Jennifer kallenburg
6025031587,3,1,AK,,,,COOK|,,,anchorage,https://anchorage.craigslist.org/fbh/6025031587.html,Jennifer kallenburg
6025048498,3,1,AK,,,,Front|Desk|Clerks|,,,anchorage,https://anchorage.craigslist.org/fbh/6025048498.html,Jennifer kallenburg
6025113447,3,1,AK,,,,,,,anchorage,https://anchorage.craigslist.org/fbh/6025113447.html,Jennifer kallenburg
6025146794,3,1,AK,,,,Customer|Service|,,,anchorage,https://anchorage.craigslist.org/fbh/6025146794.html,Jennifer kallenburg
6025183127,3,1,AK,,,,Covenant|House|Mission|State|Health|Alaska|School|Food|Service|Manual|Minimum|Education|High|SOA|Covenant|House|AD|&|D|,,,anchorage,https://anchorage.craigslist.org/fbh/6025183127.html,Jennifer kallenburg
6025566911,3,1,AK,,,,Arctic|Catering|&|Support|Services|Kuukpik|Arctic|Services|Alaska|Operations|RFP|AC|&|SS|,,,anchorage,https://anchorage.craigslist.org/fbh/6025566911.html,Jennifer kallenburg
6025622793,3,1,AK,,,,Dimond|,,,anchorage,https://anchorage.craigslist.org/fbh/6025622793.html,Jennifer kallenburg
fbh,3,13,HI,,,,Ohana|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042477416.html,Jennifer kallenburg
6025909445,3,2,AK,,,,Dependable|Hard|Worker|Honest|Fast|Learner|Great|,,,anchorage,https://anchorage.craigslist.org/fbh/6025909445.html,Jennifer kallenburg
6026740058,3,2,AK,,,,W.|Parks|Highway|Wasilla|Ak|,,,anchorage,https://anchorage.craigslist.org/fbh/6026740058.html,Jennifer kallenburg
6026924316,3,2,AK,,,,Seattle|Alaska|,,,anchorage,https://anchorage.craigslist.org/fbh/6026924316.html,Jennifer kallenburg
fbh,3,13,HI,,,,"WDI|International|,|Inc.|",,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042479940.html,Jennifer kallenburg
6027226556,3,2,AK,,,,Palmer|Inn|Cafe|&|Steakhouse|,,,anchorage,https://anchorage.craigslist.org/fbh/6027226556.html,Jennifer kallenburg
fbh,3,13,HI,,,,Aloha|Crepes|&|Snow|Flakes|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042503739.html,Jennifer kallenburg
6028079558,3,3,AK,,,,State|Food|Handlers|Card|,,,anchorage,https://anchorage.craigslist.org/fbh/6028079558.html,Jennifer kallenburg
fbh,3,13,HI,,,,Honolulu|Coffee|Hilton|,,,honolulu,https://honolulu.craigslist.org/big/fbh/6042506935.html,Jennifer kallenburg
6028270596,3,3,AK,,,,Kodiak|Island|Kodiak|Larsen|Bay|,,,anchorage,https://anchorage.craigslist.org/fbh/6028270596.html,Jennifer kallenburg
fbh,3,13,HI,,,,,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042522179.html,Jennifer kallenburg
6028281165,3,3,AK,,,,CSR|,,,anchorage,https://anchorage.craigslist.org/fbh/6028281165.html,Jennifer kallenburg
fbh,3,13,HI,,,,Thai|Harue|Kalakaua|ave.|Waikiki|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042533126.html,Jennifer kallenburg
6028474800,3,3,AK,,,,Anchorage|Marriott|Downtown|Marriott|Marriott|Anchorage|Marriott|Downtown|,,,anchorage,https://anchorage.craigslist.org/fbh/6028474800.html,Jennifer kallenburg
fbh,3,13,HI,,,,Tampa|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042563851.html,Jennifer kallenburg
6028488167,3,3,AK,,,,Anchorage|Press|Anchorage|Food|Worker|Card|,,,anchorage,https://anchorage.craigslist.org/fbh/6028488167.html,Jennifer kallenburg
fbh,3,13,HI,,,,AIEA|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042566859.html,Jennifer kallenburg
6028603544,3,3,AK,,,,,,,anchorage,https://anchorage.craigslist.org/fbh/6028603544.html,Jennifer kallenburg
fbh,3,13,HI,,,,Koho|Grill|&|Bar|Queen|Kaahumanu|Center|,,,honolulu,https://honolulu.craigslist.org/mau/fbh/6042569089.html,Jennifer kallenburg
6029356228,3,4,AK,,,,Johnny|Chicago|'s|&|Chicago|'s|Best|Knowledge|of|Food|Service|,,,anchorage,https://anchorage.craigslist.org/fbh/6029356228.html,Jennifer kallenburg
fbh,3,13,HI,,,,,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042592663.html,Jennifer kallenburg
fbh,3,13,HI,,,,,,,honolulu,https://honolulu.craigslist.org/kau/fbh/6042600303.html,Jennifer kallenburg
fbh,3,13,HI,,,,"Cheeseburger|Restaurants|,|Inc.|GM|",,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042619756.html,Jennifer kallenburg
fbh,3,13,HI,,,,MSDS|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042641125.html,Jennifer kallenburg
fbh,3,13,HI,,,,Honolulu|Honolulu|Honolulu|Hawaii|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042645337.html,Jennifer kallenburg
fbh,3,13,HI,,,,Sam|Choy|Kai|Lanai|Kona|Sam|Choy|Kai|Lanai|Kailua|Kona|,,,honolulu,https://honolulu.craigslist.org/big/fbh/6042646698.html,Jennifer kallenburg
fbh,3,13,HI,,,,Hawaii|Ka|Makana|Ali'i|,,,honolulu,https://honolulu.craigslist.org/oah/fbh/6042648478.html,Jennifer kallenburg
fbh,3,13,HI,,,,,,,honolulu,https://honolulu.craigslist.org/mau/fbh/6042695691.html,Jennifer kallenburg
fbh,3,13,HI,,,,Earth|Organic|&|Natural|PTO|Carmela|W.|Wellness|Manager|DTE|,,,honolulu,https://honolulu.craigslist.or
