CL_ID,Month,Day,State,Occupation,ToAddress,WordResume,Company,CompanyDescription,EmailSubject,City,url,RA
lab,3,14,HI,,,,,,,honolulu,https://honolulu.craigslist.org/oah/lab/6043909089.html,Jinlong Shi
6043469544,3,14,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6043469544.html,Jinlong Shi
lab,3,13,HI,,,,DriverWarehouseProduction|Worker|Cardinal|Services|,,,honolulu,https://honolulu.craigslist.org/oah/lab/6042647343.html,Jinlong Shi
lab,3,13,HI,,,,,,,honolulu,https://honolulu.craigslist.org/oah/lab/6042667035.html,Jinlong Shi
lab,3,13,HI,,,,,,,honolulu,https://honolulu.craigslist.org/mau/lab/6042653149.html,Jinlong Shi
lab,3,14,IL,,,,Healthcare|Students|ADL|,,,chicago,https://chicago.craigslist.org/chc/lab/6043902276.html,Jinlong Shi
lab,3,3,IL,,,,Crystal|Lake|Gilberts|,,,chicago,https://chicago.craigslist.org/nch/lab/6027601946.html,Jinlong Shi
lab,3,13,HI,,,,Kapolei|Ewa|Waipahu|,,,honolulu,https://honolulu.craigslist.org/oah/lab/6042670290.html,Jinlong Shi
lab,3,13,HI,,,,Pacific|Business|News|,,,honolulu,https://honolulu.craigslist.org/big/lab/6042683534.html,Jinlong Shi
lab,3,10,IL,,,,Elite|Staffing|Inc.|,,,chicago,https://chicago.craigslist.org/wcl/lab/6037954884.html,Jinlong Shi
lab,3,13,HI,,,,DC|Various|Departments|,,,honolulu,https://honolulu.craigslist.org/oah/lab/6042696812.html,Jinlong Shi
lab,3,13,HI,,,,Pacific|Business|News|,,,honolulu,https://honolulu.craigslist.org/kau/lab/6042685784.html,Jinlong Shi
lab,3,14,IL,,,,Compania|Nacional|de|Logistics|Viernes|,,,chicago,https://chicago.craigslist.org/wcl/lab/6043931041.html,Jinlong Shi
lab,3,3,IL,,,,,,,chicago,https://chicago.craigslist.org/nch/lab/6027904318.html,Jinlong Shi
lab,3,13,HI,,,,Pacific|Business|News|,,,honolulu,https://honolulu.craigslist.org/mau/lab/6042688030.html,Jinlong Shi
lab,3,10,IL,,,,Romeoville|,,,chicago,https://chicago.craigslist.org/wcl/lab/6037824655.html,Jinlong Shi
lab,3,3,IL,,,,MOKENA|University|Park|University|Park|Alsip|•|Punch|Press|CDL|,,,chicago,https://chicago.craigslist.org/sox/lab/6028412828.html,Jinlong Shi
lab,3,13,HI,,,,US|,,,honolulu,https://honolulu.craigslist.org/oah/lab/6042700385.html,Jinlong Shi
lab,3,3,IL,,,,Calumet|Park|Il|Joliet|,,,chicago,https://chicago.craigslist.org/sox/lab/6028472172.html,Jinlong Shi
lab,3,13,HI,,,,Staffing|Partners|General|Labor|,,,honolulu,https://honolulu.craigslist.org/oah/lab/6042257412.html,Jinlong Shi
lab,3,13,HI,,,,UNITED|STATES|SEAFOODS|US|Seafoods|EEO|Policy|The|Company|,,,honolulu,https://honolulu.craigslist.org/big/lab/6042257917.html,Jinlong Shi
lab,3,4,IL,,,,MINOOKA|ILLINOIS|,,,chicago,https://chicago.craigslist.org/sox/lab/6029197854.html,Jinlong Shi
lab,3,4,IL,,,,,,,chicago,https://chicago.craigslist.org/sox/lab/6029207248.html,Jinlong Shi
lab,3,13,HI,,,,,,,honolulu,https://honolulu.craigslist.org/oah/lab/6042327920.html,Jinlong Shi
lab,3,5,IL,,,,,,,chicago,https://chicago.craigslist.org/sox/lab/6030354030.html,Jinlong Shi
lab,3,6,IL,,,,M|&|M|Home|Remodeling|Services|,,,chicago,https://chicago.craigslist.org/sox/lab/6031627613.html,Jinlong Shi
lab,3,6,IL,,,,TINLEY|PARK|,,,chicago,https://chicago.craigslist.org/sox/lab/6031695093.html,Jinlong Shi
lab,3,6,IL,,,,,,,chicago,https://chicago.craigslist.org/sox/lab/6031778352.html,Jinlong Shi
lab,3,6,IL,,,,PSI|OSHA|,,,chicago,https://chicago.craigslist.org/sox/lab/6031703047.html,Jinlong Shi
lab,3,6,IL,,,,,,,chicago,https://chicago.craigslist.org/sox/lab/6031835769.html,Jinlong Shi
lab,3,6,IL,,,,Weed|Control|Company|,,,chicago,https://chicago.craigslist.org/sox/lab/6031949910.html,Jinlong Shi
lab,3,6,IL,,,,,,,chicago,https://chicago.craigslist.org/sox/lab/6032189381.html,Jinlong Shi
lab,3,6,IL,,,,CNC|,,,chicago,https://chicago.craigslist.org/sox/lab/6032027466.html,Jinlong Shi
lab,3,6,IL,,,,General|Liability|Insurance|,,,chicago,https://chicago.craigslist.org/sox/lab/6032215005.html,Jinlong Shi
lab,3,6,IL,,,,"Public|Safety|Direct|,|Inc|Perform|Installation|of|Emergency|Vehicle|Equipment|Emergency|Vehicle|Equipment|",,,chicago,https://chicago.craigslist.org/sox/lab/6032472819.html,Jinl
