CL_ID,Month,Day,State,Occupation,ToAddress,WordResume,Company,CompanyDescription,EmailSubject,City,url,RA
6003474573,2,14,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6003474573.html,Keenan Lang-Backe
5982546896,1,30,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/5982546896.html,Keenan Lang-Backe
6006021684,2,16,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6006021684.html,Keenan Lang-Backe
5983708680,1,31,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/5983708680.html,Keenan Lang-Backe
6006284208,2,16,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6006284208.html,Keenan Lang-Backe
5983887049,1,31,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/5983887049.html,Keenan Lang-Backe
6006797831,2,16,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6006797831.html,Keenan Lang-Backe
5994092622,2,7,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/5994092622.html,Keenan Lang-Backe
6007175373,2,17,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6007175373.html,Keenan Lang-Backe
6009277526,2,18,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6009277526.html,Keenan Lang-Backe
5994274787,2,7,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/5994274787.html,Keenan Lang-Backe
5996625997,2,9,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/5996625997.html,Keenan Lang-Backe
6010345922,2,19,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6010345922.html,Keenan Lang-Backe
5998046402,2,10,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/5998046402.html,Keenan Lang-Backe
6013128126,2,21,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6013128126.html,Keenan Lang-Backe
6002180653,2,13,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6002180653.html,Keenan Lang-Backe
6013405881,2,21,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6013405881.html,Keenan Lang-Backe
6002237435,2,13,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6002237435.html,Keenan Lang-Backe
6013622818,2,21,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6013622818.html,Keenan Lang-Backe
6003224900,2,14,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6003224900.html,Keenan Lang-Backe
6013639349,2,21,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6013639349.html,Keenan Lang-Backe
6003428558,2,14,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6003428558.html,Keenan Lang-Backe
6013678316,2,21,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6013678316.html,Keenan Lang-Backe
6003718639,2,14,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6003718639.html,Keenan Lang-Backe
6014600126,2,22,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6014600126.html,Keenan Lang-Backe
6014731832,2,22,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6014731832.html,Keenan Lang-Backe
6003775018,2,14,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6003775018.html,Keenan Lang-Backe
6014763428,2,22,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6014763428.html,Keenan Lang-Backe
6003874041,2,14,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6003874041.html,Keenan Lang-Backe
6015449220,2,22,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/6015449220.html,Keenan Lang-Backe
6003888534,2,14,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6003888534.html,Keenan Lang-Backe
5981743247,1,30,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/5981743247.html,Keenan Lang-Backe
6003893509,2,14,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6003893509.html,Keenan Lang-Backe
5981783365,1,30,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/5981783365.html,Keenan Lang-Backe
6004994446,2,15,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6004994446.html,Keenan Lang-Backe
5981834996,1,30,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/5981834996.html,Keenan Lang-Backe
6006055541,2,16,SD,,,,,,,siouxfalls,https://siouxfalls.craigslist.org/ret/6006055541.html,Keenan Lang-Backe
5982087202,1,30,OK,,,,,,,oklahomacity,https://oklahomacity.craigslist.org/ret/5982087202.html,Keenan Lang-Backe
