CL_ID,Month,Day,State,Occupation,ToAddress,WordResume,Company,CompanyDescription,EmailSubject,City,url,RA
6012969741,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6012969741.html,Raymond Spiries
6025626575,3,1,TX,,,,,,,houston,https://houston.craigslist.org/lab/6025626575.html,Raymond Spiries
6023926169,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6023926169.html,Raymond Spiries
6012976244,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6012976244.html,Raymond Spiries
6013059172,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6013059172.html,Raymond Spiries
6024001339,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024001339.html,Raymond Spiries
6024006725,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024006725.html,Raymond Spiries
6013093004,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6013093004.html,Raymond Spiries
6024007925,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024007925.html,Raymond Spiries
6013250968,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6013250968.html,Raymond Spiries
6024145601,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024145601.html,Raymond Spiries
6013262259,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6013262259.html,Raymond Spiries
6024201588,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024201588.html,Raymond Spiries
6013269931,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6013269931.html,Raymond Spiries
6024202490,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024202490.html,Raymond Spiries
6013775832,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6013775832.html,Raymond Spiries
6024246399,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024246399.html,Raymond Spiries
6024360281,2,28,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024360281.html,Raymond Spiries
6013939926,2,21,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6013939926.html,Raymond Spiries
6024487826,3,1,TX,,,,,,,houston,https://houston.craigslist.org/lab/6024487826.html,Raymond Spiries
6014566566,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6014566566.html,Raymond Spiries
6014688867,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6014688867.html,Raymond Spiries
6014760113,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6014760113.html,Raymond Spiries
6014761834,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6014761834.html,Raymond Spiries
6014890794,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6014890794.html,Raymond Spiries
6014895275,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6014895275.html,Raymond Spiries
6014926655,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6014926655.html,Raymond Spiries
6014989277,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6014989277.html,Raymond Spiries
6015440129,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6015440129.html,Raymond Spiries
6015559164,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6015559164.html,Raymond Spiries
6015793474,2,22,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6015793474.html,Raymond Spiries
6016201915,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016201915.html,Raymond Spiries
6016358277,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016358277.html,Raymond Spiries
6016425172,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016425172.html,Raymond Spiries
6016426573,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016426573.html,Raymond Spiries
6016518526,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016518526.html,Raymond Spiries
6016544612,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016544612.html,Raymond Spiries
6016587192,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016587192.html,Raymond Spiries
6016642784,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016642784.html,Raymond Spiries
6016807361,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016807361.html,Raymond Spiries
6016919159,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6016919159.html,Raymond Spiries
6017213066,2,23,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6017213066.html,Raymond Spiries
6017541434,2,24,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6017541434.html,Raymond Spiries
6017675653,2,24,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6017675653.html,Raymond Spiries
6017812112,2,24,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6017812112.html,Raymond Spiries
6017877107,2,24,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6017877107.html,Raymond Spiries
6017950309,2,24,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6017950309.html,Raymond Spiries
6017965231,2,24,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6017965231.html,Raymond Spiries
6018062636,2,24,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6018062636.html,Raymond Spiries
6018067384,2,24,NM,,,,,,,albuquerque,https://albuquerque.craigslist.org/lab/6018067384.html,Raymond Spiries
